GENRE,ARTIST,ALBUM,YEAR,QUANTITY
Brasilian,Sergio Mendes & Brasil '66 ,Look Around,x,1
Christmas,Boston Pops,Pops Goes Christmas,1972,1
Christmas,"Brown, James",A Soulful Christmas,2014,1
Christmas,Death Row,Christmas on Death Row,1996,1
Christmas,Funky Christmas,Funky Christmas,1976,1
Christmas,Rotary Connection,Peace,x,1
Christmas,Sharon Jones & The Dap-Kings,It's a Holiday Soul Party,2015,1
Christmas,Soul Christmas,Soul Christmas,1968,1
Christmas,Whispers,Happy Holidays To You,1985,1
Classical/Orchestra,Chopin,Chopin,x,1
Classical/Orchestra,NY Philharmonic,Pictures At an Exhibition,x,1
Classical/Orchestra,NY Philharmonic,Brahms,x,1
Classical/Orchestra,NY Philharmonic,Midsummer Night's Dream,x,1
Hawaiian,Don Ho,Don Ho & the Aliis,x,1
Hawaiian,Home Grown,Home Grown,x,1
Hawaiian,Mix,Fabulous Hawaiian Favorites,1964,1
Hip Hop,112,Only You ft. Notorious B.I.G.,1996,1
Hip Hop,2K6 (The Tracks),2K6 (The Tracks),2005,1
Hip Hop,Aaliyah,Come Back in One Piece,2000,1
Hip Hop,Aaliyah,Dr. Doolittle Soundtrack (Are You That Somebody),1998,1
Hip Hop,Bilal,Fast Lane,2000,1
Hip Hop,Bone Thugs n Harmony,The Collection: Volume 2,2000,1
Hip Hop,Boys II Men,Boys II Men,1994,1
Hip Hop,"Brown, Bobby",Every Little Step,x,1
Hip Hop,Brownstone,If You Love Me,x,1
Hip Hop,Death Row,The Very Best of Death Row,2005,1
Hip Hop,Dr. Dre,The Chronic,2001,1
Hip Hop,"Dupri, Jermaine",Ballin' Out of Control,2001,1
Hip Hop,Fat Joe,Definition of a Don,2002,1
Hip Hop,Jay Delicious,95-98: The Delicious Vinyl Years,2007,1
Hip Hop,Jive's Greatest Rappers,* Word,x,1
Hip Hop,"Jordan, Montell",Let's Ride,1998,1
Hip Hop,Kid Cudi,Man on the Moon II: The Legend of Mr. Rager,x,1
Hip Hop,KRS-ONE,KRS-ONE,1987,1
Hip Hop,Loon,Loon,x,1
Hip Hop,Ludacris,Move B,2002,1
Hip Hop,MadLib,Shades of Blue: Madlib Invades Blue Note,2003,1
Hip Hop,Mase,What You Want,1998,1
Hip Hop,MC Hammer,Pray,1990,1
Hip Hop,Mix,Top Secret Mix,x,1
Hip Hop,Nappy Roots,Po' Folks,2002,1
Hip Hop,Nelly,(Hot Sh*t) Country Grammar,2000,1
Hip Hop,Noreaga,N.O.R.E.,1998,1
Hip Hop,Obie Trice,Second Round's On Me,2006,1
Hip Hop,Outkast,Southernpalyalisticadillacmuzik,1994,1
Hip Hop,Rick Ross,Blow,x,1
Hip Hop,Shaq,No Love Lost ft. Jay Z,1997,1
Hip Hop,Shyne,More or Less,2004,1
Hip Hop,Snoop Dogg,Doggy Style Allstars,2002,1
Hip Hop,Soul in the Hole,Soul in the Hole Soundtrack,1997,1
Hip Hop,Step Up Soundtrack,Step Up Soundtrack,2006,1
Hip Hop,Swizz Beats,Ghetto Stories,x,1
Hip Hop,Trina,B R Right ft. Ludacris,2002,1
Hip Hop,Trina,No Panties ft. Tweet,2002,1
Hip Hop,Twist,Tribute to the Martyrs,x,1
Hip Hop,Usher,Think of You,1994,1
Hip Hop,Warren G,Regulate,x,1
Hip Hop,"Watley, Jodi",Friends ft. Eric B. & Rakim,1989,1
Hip Hop,Whodini,Open Sesame,1987,1
Hip Hop,Wu-Tang Clan,Legend of the Wu-Tang,2004,1
Jazz,"Anderson, Leroy",Music of Leroy Anderson,x,1
Jazz,"Armstrong, Louis",Satchmo's Golden Favorites,x,1
Jazz,"Armstrong, Louis",Up Front,x,1
Jazz,"Armstrong, Louis",Broadcast Sounds of Satchmo,x,1
Jazz,"Bennett, Tony",I Wanna Be Around,x,1
Jazz,"Braff, Ruby",Adoration of the Melody,1978,1
Jazz,"Condon, Eddie",Jam Sessions with Bobby Hackett,1980,1
Jazz,Dixieland Jazz,Dixieland Jazz,x,1
Jazz,"Ellington, Duke",Continnuum,1975,1
Jazz,"Hackett, Bobby",Thanks Bobby,1976,1
Jazz,"Hackett, Bobby",Bobby Hackett Plays Tony Bennett,x,1
Jazz,Joe Venuti & Earl Hines,Hot Sonatas,1976,1
Jazz,Joe Venuti & George Barnes,Live at the Concord Summer Festival,1977,1
Jazz,Richie Cole & Eric Kloss,Battle of the Saxes: Volume 1,1977,1
Jazz,Ruby Braff George Barnes Quartet,To Fred Estaire With Love,1975,1
Jazz,Ruby Braff George Barnes Quartet,Live at the New School,1974,1
Jazz,"Sinatra, Frank",What is This Thing Called Love?,x,1
Jazz/Grandpa,"Bennett, Tony",Make Magnificent Music,1977,2
Jazz/Grandpa,"Bennett, Tony",Tony Bennett Sings 10,1976,2
Jazz/Grandpa,"Bennett, Tony",More Great Rodgers & Hart,1977,1
Jazz/Grandpa,"Bennett, Tony",Life is Beautiful,x,3
Jazz/Grandpa,"Hackett, Bobby",Blues With A Kick,1966,1
Jazz/Grandpa,"Hackett, Bobby",Bobby Hackett at the Embers,x,1
Jazz/Grandpa,"Hackett, Bobby",Live from the Voyager Room,x,1
Jazz/Grandpa,Jazz Greats,Jazz Greats: Volume 1,1974,1
Jazz/Grandpa,Joe Venuti Quartet,Joe Venuti Quartet,1969,2
Jazz/Grandpa,Ruby Braff George Barnes Quartet,Rodgers and Hart,x,3
Jazz/Grandpa,Ruby Braff George Barnes Quartet,The Best I've Heard,x,1
Jazz/Grandpa,Ruby Braff George Barnes Quartet,The Ruby Braff George Barnes Quartet,x,
New,Adele,25,2016,1
New,Flight of the Conchords,I Told You I Was Freaky,2013,1
New,Lake Street Dive,Bad Self Portraits,2016,1
New,Leon Bridges,Coming Home,2016,1
New,Solange,A Seat at the Table,2016,1
New,Solange,Saint Heron,2013,1
New,Vaudeville Smash,The Gift,2016,1
Reggae,"Cliff, Jimmy",Best of Jimmy Cliff in Concert,1976,1
Reggae,DV8,Take a Stance,1983,1
Reggae,"Faith, George",Straight to the Heart,x,1
Reggae,"Grant, Eddy",All the Hits,1984,1
Reggae,Little Kirk,I'm Ready,1995,1
Reggae,Ras Attitude,Royal Lionage,2006,1
Reggae,"Roy, Freddie",Love Somebody,1987,1
Reggae,Shakers,Yankee Reggae,1976,1
Reggae,Steel Pulse,Back to my Roots,1994,1
Reggae,Steel Pulse,Tribute to the Martyrs,1979,1
Reggae,Third World,Try Jah Love,1982,1
Reggae,Third World,You've Got the Power,1982,1
Reggae,Third World,Journey to Addis,1978,1
Reggae,"Tosh, Peter",Bush Doctor,1978,1
Reggae,UB40,Geffrey Morgan...,1984,1
Reggae,Ziggy Marley,Look Who's Dancing,1989,1
Rock/Pop,Air Supply,Lost in Love,1980,1
Rock/Pop,Beach Boys,Best of the Beach Boys: Volume 1,x,1
Rock/Pop,Beach Boys,Best of the Beach Boys: Volume 2,x,1
Rock/Pop,Beatles,1964-1966,1966,1
Rock/Pop,Black Oak Arkansas,High on the Hog,1973,1
Rock/Pop,Boston,Boston,1976,1
Rock/Pop,Carpenters,Carpenters,1976,1
Rock/Pop,Cat Stevens,Greatest Hits,1974,1
Rock/Pop,"Clapton, Eric",Slowhand,1977,1
Rock/Pop,"Diamon, Neil",Greatest Hits,x,1
Rock/Pop,Doobie Brothers,Best of the Doobie Brothers,1976,2
Rock/Pop,"Dylan, Bob",Greatest Hits,x,1
Rock/Pop,Eagles,Hotel California,1976,1
Rock/Pop,"Frampton, Peter",Frampton Comes Alive,1976,1
Rock/Pop,"Frampton, Peter",I'm In You,1977,1
Rock/Pop,Grateful Dead,Skeletons From the Closet,1974,1
Rock/Pop,Hall & Oates,Private Eyes,1981,1
Rock/Pop,"Hendrix, Jimi",Essential Jimi Hendrix: Volume 2,1979,1
Rock/Pop,Herb Alpert & the Tiajuana Brass,Greatest Hits,1963,1
Rock/Pop,Huey Lewis and the News,Picture This,1982,1
Rock/Pop,"Idol, Billy",Billy Idol,1983,1
Rock/Pop,"Joel, Billy",52nd Street,1978,1
Rock/Pop,"Joel, Billy",The Stranger,1977,2
Rock/Pop,"John, Elton",Madman Across the Water,1972,1
Rock/Pop,Led Zeppelin,The Song Remains the Same,1976,1
Rock/Pop,Marshall Tucker Band,The Marshall Tucker Band,1973,1
Rock/Pop,Monkees,Greatest Hits,1976,1
Rock/Pop,"Petty, Tom",Tom Petty & The Heartbreakesr,1976,1
Rock/Pop,Queen,Killers LIVE,1979,1
Rock/Pop,Rolling Stones,Tattoo You,1981,1
Rock/Pop,Santana,Abraxas,x,1
Rock/Pop,Saturday Night Fever,Movie Soundtrack,1977,1
Rock/Pop,Seals & Crofts,Unborn Child,1974,1
Rock/Pop,"Seger, Bob",Night Moves,1976,1
Rock/Pop,Simon & Garfunkel,Concert in Central Park,1981,1
Rock/Pop,Simon & Garfunkel,Bridge Over Troubled Water,1969,1
Rock/Pop,Steppenwolf Gold,Greatest Hits,1972,1
Rock/Pop,Steve Miller Band,Anthology,1972,1
Rock/Pop,Steve Miller Band,Fly Like an Eagle,1976,1
Rock/Pop,Steve Miller Band,Greatest Hits: 1974-1978,1978,1
Rock/Pop,Talking Heads,Electrically,1979,1
Rock/Pop,"Taylor, James",James Taylor,1976,1
Rock/Pop,WangChung,Dance Hall Days,1984,1
Rock/Pop,Yes,Yes,1983,1
Soul/Funk/R&B,4 Seasons,Gold Edition,x,1
Soul/Funk/R&B,4 Tops,Catfish,1976,1
Soul/Funk/R&B,4 Tops,Live & In Concert,1974,1
Soul/Funk/R&B,"Astley, Rick",Whenever You Need Somebody,1987,1
Soul/Funk/R&B,Average White Band,Soul Searching,1976,1
Soul/Funk/R&B,"Benson, George",In Flight,1977,1
Soul/Funk/R&B,"Benson, George",Breezin',1976,1
Soul/Funk/R&B,Black Byrds,The Black Byrds,1976,1
Soul/Funk/R&B,Boney M,Oceans of Fantasy,1979,1
Soul/Funk/R&B,Boney M,Love for Sale,1977,1
Soul/Funk/R&B,Brick,Brick,1977,1
Soul/Funk/R&B,"Brown, James",Twist Around,x,1
Soul/Funk/R&B,Chi-Lites,A Letter To Myself,1973,1
Soul/Funk/R&B,Commodores,Midnight Magic,1979,1
Soul/Funk/R&B,Commodores,Natural High,1978,1
Soul/Funk/R&B,Commodores,Hot On the Tracks,1976,1
Soul/Funk/R&B,Commodores,Heroes,1980,1
Soul/Funk/R&B,Controllers,Sleeping Alone,1987,1
Soul/Funk/R&B,"Cooper, Michael",Love is Such a Funny Thing,1987,1
Soul/Funk/R&B,Dimples,Mr. Look So Good,1982,1
Soul/Funk/R&B,Dramatics,Jackpot,1975,1
Soul/Funk/R&B,Earth Wind & Fire,I Am,1979,1
Soul/Funk/R&B,Earth Wind & Fire,Touch The World,1987,1
Soul/Funk/R&B,Earth Wind & Fire,Gratitude,1975,1
Soul/Funk/R&B,Earth Wind & Fire,All 'N All,1977,1
Soul/Funk/R&B,Earth Wind & Fire,Best of Earth Wind & Fire,1978,2
Soul/Funk/R&B,Earth Wind & Fire,Spirit,1976,1
Soul/Funk/R&B,Earth Wind & Fire,Wanna Be The Man,1990,1
Soul/Funk/R&B,Electric Light Orchestra,Out of the Blue,1977,1
Soul/Funk/R&B,Electric Light Orchestra,Discovery,1979,1
Soul/Funk/R&B,Family Stand,Ghetto Heaven,1990,1
Soul/Funk/R&B,Foxy,Get Off,1978,1
Soul/Funk/R&B,"Gaye, Marvin",Let's Get It On,1973,1
Soul/Funk/R&B,"Gaynor, Gloria",Never Can Say Goodbye,1975,1
Soul/Funk/R&B,"Gaynor, Gloria",Experience,1975,1
Soul/Funk/R&B,Grand Funk Railroad,Grand Funk,x,1
Soul/Funk/R&B,"Green, Al",Al Green is Love,1975,1
Soul/Funk/R&B,"Henderson, Michael",In the Night Time,1978,2
Soul/Funk/R&B,Isley Brothers,3 + 3,1973,1
Soul/Funk/R&B,Isley Brothers,Live at Yankee Stadium,x,1
Soul/Funk/R&B,Isley Brothers,The Heat is On,1975,1
Soul/Funk/R&B,"Jackson, Janet",Control,1986,1
Soul/Funk/R&B,"Jackson, Millie",Lovingly Yours,1976,2
Soul/Funk/R&B,"James, Rick",Fire It Up,1979,1
Soul/Funk/R&B,"James, Rick",Come Get It,1978,1
Soul/Funk/R&B,"James, Rick",Disco Eyed Cue,1978,1
Soul/Funk/R&B,"Johnson, Jesse",Shockadelica,1986,1
Soul/Funk/R&B,KC and the Sunshine Band,KC and the Sunshine Band,1975,1
Soul/Funk/R&B,Kiddo,Kiddo,1983,1
Soul/Funk/R&B,"King, Evelyn",Smooth Talk,1977,1
Soul/Funk/R&B,Kool & th Gang,Rags to Riches,1988,1
Soul/Funk/R&B,Kool & th Gang,Victory,1986,1
Soul/Funk/R&B,Lisa Lisa and the Cult Jam,Little Jackie Wants to be a Star,1989,1
Soul/Funk/R&B,LTD,Something to Love,1977,1
Soul/Funk/R&B,LTD,"Love, Togetherness and Devotion",1978,1
soul/Funk/R&B,LTD,Devotion,1979,1
Soul/Funk/R&B,"Mayfield, Curtis",The Right Combination,1979,1
Soul/Funk/R&B,"Mayfield, Curtis",Curtis,x,1
Soul/Funk/R&B,"Mayfield, Curtis",Claudine w/ Gladys Knight,1974,1
Soul/Funk/R&B,Miracles,Greatest Hits,1964,1
Soul/Funk/R&B,"Ocean, Billy",Love Zone,1986,1
Soul/Funk/R&B,"Ocean, Billy",Suddenly,1984,1
Soul/Funk/R&B,Ohio Players Club, The Ohio Players Club,x,1
Soul/Funk/R&B,Ohio Players Club,Mr. Mean,1977,1
Soul/Funk/R&B,Ohio Players Club,Back,1988,1
Soul/Funk/R&B,Ohio Players Club,Live: 1977,1977,1
Soul/Funk/R&B,Ohio Players Club,Contradiction,1976,1
Soul/Funk/R&B,Ohio Players Club,Angel,1977,1
Soul/Funk/R&B,Ohio Players Club,Honey,1975,1
Soul/Funk/R&B,Ohio Players Club,Fire,1974,1
Soul/Funk/R&B,Ohio Players Club,Greatest Hits,1975,1
Soul/Funk/R&B,Ohio Players Club,Skin Tight,1974,1
Soul/Funk/R&B,Ohio Players Club,Climax,1974,1
Soul/Funk/R&B,Ohio Players Club,Gold,1976,1
Soul/Funk/R&B,O'Jays,The O'Jays,x,1
Soul/Funk/R&B,Parliament Funkadelic,United States of America Eats Its Young,1972,1
Soul/Funk/R&B,Parliament Funkadelic,Mothership Connection,1975,1
Soul/Funk/R&B,Parliament Funkadelic,Silly Millameter,1983,1
Soul/Funk/R&B,Pointer Sisters,Serious Slammin',1988,1
Soul/Funk/R&B,Pointer Sisters,Priority,1979,1
Soul/Funk/R&B,Pointer Sisters,Energy,1978,1
Soul/Funk/R&B,Pointer Sisters,Contact,1985,1
Soul/Funk/R&B,Pointer Sisters,Break Out,1983,1
Soul/Funk/R&B,Pointer Sisters,Black & White,1981,1
Soul/Funk/R&B,Pointer Sisters,The Pointer Sisters,1973,1
Soul/Funk/R&B,Pointer Sisters,That's a Plenty,1974,1
Soul/Funk/R&B,Pointer Sisters,Steppin,1975,1
Soul/Funk/R&B,Prince,Purple Rain,1984,1
Soul/Funk/R&B,Prince,Prince For You,1978,1
Soul/Funk/R&B,Prince,1999,1982,1
Soul/Funk/R&B,Reddings,Class,1981,1
Soul/Funk/R&B,Reddings,If Looks Could Kill,1985,1
Soul/Funk/R&B,"Richie, Lionel",Lionel Richie,1982,1
Soul/Funk/R&B,"Richie, Lionel",Can't Slow Down,1983,1
Soul/Funk/R&B,Rose Brothers,Everything's Coming Up Roses,1986,1
Soul/Funk/R&B,"Ross, Diana",Diana Ross,1970,1
Soul/Funk/R&B,Rufus,Ask Rufus,1977,1
Soul/Funk/R&B,Shotgun,III,1979,1
Soul/Funk/R&B,"Singleton, Charlie","Nothing Ventured, Nothing Gained",1987,1
Soul/Funk/R&B,Sister Sledge,Sister Sledge,1981,1
Soul/Funk/R&B,Sly & the Family Stone,Greatest Hits,x,1
Soul/Funk/R&B,Sly & the Family Stone,Stand!,1968,1
Soul/Funk/R&B,Smokey Robinson,Where There's Smoke,1979,1
soul/Funk/R&B,Smokey Robinson & The Miracles,Live,1968,1
Soul/Funk/R&B,Stargard,Stargard,1978,1
Soul/Funk/R&B,"Summer, Diana",I Remember Yesterday,1977,1
Soul/Funk/R&B,Supremes,"Mary, Scherrie & Susaye",1976,1
Soul/Funk/R&B,Supremes,Where Did Our Love Go,1964,1
Soul/Funk/R&B,Taka Boom,Taka Boom,1979,1
Soul/Funk/R&B,Temptations,Hear to Tempt You,1977,1
Soul/Funk/R&B,Temptations,Truly For You,1984,1
Soul/Funk/R&B,Temptations,Greatest Hits,1966,1
Soul/Funk/R&B,Tom Tom Club,Close to the Bone,1983,1
Soul/Funk/R&B,Tower of Power,In the Slot,1975,1
Soul/Funk/R&B,Tower of Power,Tower of Power,1973,1
Soul/Funk/R&B,Tower of Power,Urban Renewal,1974,1
Soul/Funk/R&B,"Turner, Ike & Tina",Come Together,x,1
Soul/Funk/R&B,"Turner, Tina",Private Dancer,1983,1
Soul/Funk/R&B,Two Tons,Backatcha,1980,1
Soul/Funk/R&B,"Vandross, Luther",Til My Baby Comes Home,1985,1
Soul/Funk/R&B,"White, Barry",Stone Gon',1973,1
Soul/Funk/R&B,"Withers, Bill",Still Bill,1972,1
Soul/Funk/R&B,"Withers, Bill",Bill Withers Live at Carnegie Hall,1973,1
